,id,pais,estado,cidade,genero,data,salario
0,1,*,*,*,*,**/**/19,$5407.86
1,2,*,*,*,Male,**/**/20,$7833.82
2,3,Sweden,*,*,Male,**/**/**,$5530.85
3,4,*,*,*,Female,**/11/19,$2803.76
4,5,France,*,*,Female,**/**/19,$2201.87
5,6,United States,*,*,Female,**/**/**,$4047.44
6,7,France,*,*,Female,**/**/19,$2004.14
7,8,*,*,*,Male,**/05/19,$883.43
8,9,United States,*,*,Male,**/**/**,$5307.88
9,10,*,*,*,Female,**/01/20,$7418.79
10,11,*,*,*,Male,**/**/20,$813.67
11,12,*,*,*,Male,**/03/19,$5435.41
12,13,*,*,*,Female,**/01/19,$2541.75
13,14,Sweden,*,*,Female,**/**/**,$4874.88
14,15,*,*,*,Female,**/11/19,$4178.43
15,16,Sweden,*,*,Female,**/**/19,$4391.85
16,17,*,*,*,Male,**/**/20,$6289.41
17,18,United States,*,*,Female,**/**/**,$2934.66
18,19,*,*,*,Male,**/**/20,$6995.08
19,20,Sweden,*,*,Female,**/**/**,$6250.72
20,21,Sweden,*,*,Female,**/**/19,$2923.67
21,22,*,*,*,Male,**/01/19,$4941.92
22,23,*,*,*,Male,**/**/**,$3585.70
23,24,France,*,*,Male,**/**/20,$7512.12
24,25,*,*,*,Female,**/11/19,$4627.31
25,26,*,*,*,Male,**/10/19,$5563.83
26,27,*,*,*,Male,**/**/20,$3472.88
27,28,Portugal,*,*,Male,**/**/19,$2534.88
28,29,France,*,*,Male,**/**/19,$5689.99
29,30,*,*,*,Female,**/**/19,$4848.93
30,31,*,*,*,Female,**/**/20,$7103.44
31,32,France,*,*,Male,**/**/19,$3827.17
32,33,*,*,*,Female,**/**/19,$7202.43
33,34,Sweden,*,*,Female,**/**/19,$6552.66
34,35,*,*,*,Male,**/**/19,$938.01
35,36,*,*,*,*,**/**/19,$5772.69
36,37,Portugal,*,*,Male,**/**/**,$3591.12
37,38,*,*,*,Female,**/**/19,$7847.46
38,39,*,*,*,Female,**/**/19,$3472.73
39,40,Portugal,*,*,Male,**/**/19,$5979.17
40,41,Portugal,*,*,Female,**/**/20,$1213.00
41,42,*,*,*,Female,**/08/19,$7539.41
42,43,*,*,*,Female,**/06/20,$7758.57
43,44,*,*,*,Female,**/**/20,$4941.80
44,45,*,*,*,*,**/**/**,$6907.90
45,46,*,*,*,Male,**/04/19,$3200.30
46,47,*,*,*,Female,**/01/19,$1133.30
47,48,*,*,*,Female,**/01/20,$1191.96
48,49,France,*,*,Male,**/**/20,$6336.71
49,50,Sweden,*,*,Female,**/**/**,$6867.13
50,51,*,*,*,Female,**/07/20,$2894.36
51,52,United States,*,*,Female,**/**/20,$4689.02
52,53,Portugal,*,*,Female,**/**/19,$2363.38
53,54,*,*,*,Male,**/**/20,$919.06
54,55,*,*,*,Female,**/10/19,$3223.62
55,56,Mexico,*,*,Female,**/**/**,$6528.84
56,57,Portugal,*,*,Male,**/**/19,$2944.40
57,58,United States,*,*,Female,**/**/20,$6968.33
58,59,*,*,*,Female,**/07/19,$2642.75
59,60,*,*,*,*,**/**/20,$6148.93
60,61,Portugal,*,*,Female,**/**/19,$7077.49
61,62,*,*,*,*,**/**/**,$3435.80
62,63,Portugal,*,*,Male,**/**/19,$6842.64
63,64,*,*,*,*,**/**/20,$2690.43
64,65,*,*,*,Male,**/**/19,$1186.54
65,66,Portugal,*,*,Female,**/**/**,$4022.26
66,67,Portugal,*,*,Male,**/**/19,$2420.72
67,68,*,*,*,Female,**/11/19,$1348.47
68,69,*,*,*,Female,**/10/19,$5536.87
69,70,Mexico,*,*,Male,**/**/**,$6445.22
70,71,France,*,*,Male,**/**/19,$5323.97
71,72,*,*,*,Male,**/**/20,$7170.52
72,73,France,*,*,Female,**/**/20,$6432.81
